no,x,y,shape_labels,video_labels
1,1.0553206205,-0.2729798853,1,10
1,0.9560579062,-0.5048936009,1,10
1,0.9165223837,-0.2865433991,1,10
1,1.0181725025,-0.5533124804,1,10
1,1.3267246485,-0.6554772258,1,10
1,1.8504836559,-0.2480451167,1,10
1,1.7832903862,-0.1513874829,1,10
1,2.1217124462,-0.3888589442,1,10
1,1.7163038254,-0.1505222619,1,10
1,1.6716389656,-0.3602824509,1,10
1,1.7448804379,-0.5146930814,1,10
1,1.9088429213,-0.1763167679,1,10
1,2.6370558739,-0.4907590449,1,10
1,1.8647232056,-0.919642508,1,10
1,1.5266109705,-0.505784452,1,10
1,1.8053389788,-0.8007338643,1,10
1,1.6826595068,-0.5772334933,1,10
1,1.8578876257,-0.2049588263,1,10
1,1.8084970713,-0.034626998,1,10
1,1.9126157761,-0.0721276179,1,10
1,1.8714005947,-0.2306934893,1,10
1,2.2494423389,-0.3090153039,1,10
1,2.3185062408,-0.4257914126,1,10
1,2.4764547348,-0.1450946629,1,10
1,2.404031992,-0.3120448887,1,10
1,1.1676286459,-0.3356664479,1,10
1,0.0245628208,0.0354618654,1,10
1,-0.1697155684,0.8718824983,1,10
1,0.827750802,-0.1769558489,1,10
1,0.7239889503,-1.1511881351,1,10
1,0.9671248198,-0.9086213708,1,10
1,1.1547168493,-0.4446361363,1,1
1,1.1221935749,-0.5090953708,1,1
1,1.3768459558,-0.7018995881,1,1
1,2.1414937973,-0.6430135369,1,1
1,2.2972459793,-0.6130319238,1,1
1,1.6077286005,0.5579326749,1,1
1,1.3830047846,0.5146685243,1,1
1,0.9412392378,0.2407610118,1,1
1,0.2883976102,0.1112987623,1,1
1,0.8380514383,-0.1906179488,1,1
1,-0.2428844124,-0.0145244971,1,1
1,1.7249073982,-0.0619839802,1,1
1,1.557107687,0.1166777238,1,1
1,0.7617138624,-0.2822242081,1,1
1,0.8534835577,-0.2813483775,1,1
1,0.9381821752,0.4994864166,1,1
1,1.2347507477,-0.722409904,1,1
1,1.9013015032,-0.5145366788,1,1
1,1.9990147352,-0.3920493424,1,1
1,2.1061029434,0.1790547073,1,1
1,1.9113957882,-0.5854905248,1,1
1,1.5087171793,0.1743228137,1,1
1,1.6736969948,-0.1845567524,1,1
1,0.9884979725,-0.0425472632,1,1
1,1.1487495899,-0.4400062859,1,1
1,1.8331565857,-0.549934566,1,1
1,1.3198950291,-0.7052454352,1,1
1,0.9765098095,-0.6159724593,1,1
1,1.5213568211,-0.4038265049,1,1
1,1.1708315611,-0.1361842453,1,1
1,1.0382487774,-0.2056007683,1,1
1,1.3036391735,0.024184905,1,1
1,0.5461896062,-0.2641120255,1,1
1,1.1359350681,-0.6706183553,1,1
